iso2_code,ASP.NET,Assembly,Awk,Batchfile,Bicep,Brainfuck,C,C#,C++,CMake,Clojure,CoffeeScript,Cuda,Cython,Dart,Dockerfile,Emacs Lisp,Forth,Fortran,GAP,GDB,GDScript,GLSL,Gherkin,Go,Groovy,HCL,HLSL,Hack,Java,JavaScript,Jsonnet,Julia,Kotlin,Lex,Lua,M,M4,MATLAB,Makefile,Mako,Mathematica,Meson,Motoko,NSIS,Nix,Objective-C,Objective-C++,Open Policy Agent,PHP,PLpgSQL,Pascal,Perl,PowerShell,Procfile,Puppet,PureBasic,Python,QMake,R,Raku,Ruby,Rust,SWIG,Scala,Scheme,ShaderLab,Shell,Smalltalk,Smarty,Solidity,Starlark,Swift,TSQL,Tcl,TypeScript,VHDL,Verilog,Vim Script,Visual Basic .NET,XSLT,Yacc,sed
SN,0,0,0,0,0,0,8,0,11,15,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0
SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZA,37,14,0,13,0,42,7,8,11,17,0,0,0,44,22,6,0,0,0,0,0,0,0,40,21,0,26,38,28,5,1,0,0,15,0,24,43,0,32,12,0,0,0,0,0,30,19,36,0,10,34,0,33,16,25,18,0,2,0,27,0,9,23,0,0,0,39,3,0,31,0,0,20,29,0,4,0,0,41,0,35,0,0
SD,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZ,0,0,0,0,0,0,9,0,11,18,0,0,0,0,10,3,0,0,0,0,0,0,0,17,0,0,0,0,16,7,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,5,0,0,0,0,8,0,0,2,0,0,0,19,0,0,0,0,0,4,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0
TG,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
TN,0,22,0,18,0,0,8,14,9,12,0,0,0,0,15,6,0,0,0,0,0,0,0,0,21,0,23,0,19,2,1,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,11,28,0,5,0,0,0,20,24,0,0,4,26,0,0,17,0,0,0,0,27,7,0,25,0,0,13,0,0,3,0,0,0,0,0,0,0
TR,26,27,58,20,0,0,8,3,7,13,72,71,55,53,17,9,63,62,59,44,60,65,30,32,21,54,37,19,29,4,1,0,0,10,52,28,0,45,33,15,64,39,57,43,70,40,12,24,0,14,41,67,34,23,31,0,69,2,56,35,61,16,25,0,73,66,18,6,49,36,22,42,11,38,51,5,0,46,47,0,50,48,68
UG,0,21,0,16,0,0,7,0,10,17,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,18,8,1,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,5,0,0,0,20,19,0,0,2,0,0,0,11,0,0,0,0,0,3,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0
AE,0,24,0,17,0,0,7,13,9,14,0,0,0,0,19,5,0,0,0,0,0,0,0,0,18,0,23,0,31,6,1,0,0,15,0,25,0,0,32,8,0,0,0,0,0,29,12,26,0,11,0,0,27,20,28,0,0,2,0,0,0,10,21,0,0,0,0,3,0,30,22,0,16,0,0,4,0,0,0,0,0,0,0
YE,0,0,0,0,0,0,9,13,5,12,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0
ZM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ZW,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
